Nome do Jogo;Preco Original;Preco Promocional;Informacoes;Tempo Medio de Jogo
Star Wars: Legion - Condutores de Dewback;89.99;89.99;"<p>Esta expans&atilde;o para STAR WARS: LEGION cont&eacute;m 1 miniatura de condutor de dewback detalhadamente esculpida, sufciente para formar uma unidade de suporte, bem como novas cartas de unidade e de melhoria para usar em batalha.</p>";60-120 min
L5R Ciclo Imperial: Lágrimas de Amaterasu (Expansão);34.99;34.99;"<p>L&aacute;grimas de Amaterasu &eacute; um pacote de dinastia para Legend of the Five Rings: Card Game contendo 60 cartas novas (3 c&oacute;pias de 20 cartas diferentes) projetado&nbsp;para melhorar os baralhos existentes. Ambientado no mundo m&iacute;stico de Rokugan, Legend of the Five Rings &eacute; um jogo de batalhas estrat&eacute;gicas e intrigas de corte onde jogadores lutam por honra e gl&oacute;ria.</p>

<p><strong>Expans&atilde;o do jogo Legend of the Five Rings. Para jog&aacute;-la &eacute; necess&aacute;rio ter a <a href=""https://galapagosjogos.com.br/l5r-legends-of-the-five-rings/product/L5R001"">caixa base</a>.</strong></p>";30-60 min
L5R Ciclo Imperial: Por Honra e Glória (Expansão);34.99;34.99;"<p>Por Honra e Gl&oacute;ria &eacute; um pacote de dinastia para Legend of the Five Rings: Card Game contendo 60 cartas novas (3 c&oacute;pias de 20 cartas diferentes) projetado para melhorar os baralhos existentes. Ambientado no mundo m&iacute;stico de Rokugan, Legend of the Five Rings &eacute; um jogo de batalhas estrat&eacute;gicas e intrigas de corte onde jogadores lutam por honra e gl&oacute;ria.</p>

<p><strong>Expans&atilde;o do jogo Legend of the Five Rings. Para jog&aacute;-la &eacute; necess&aacute;rio ter a <a href=""https://galapagosjogos.com.br/l5r-legends-of-the-five-rings/product/L5R001"">caixa base</a>.</strong></p>";30-60 min
L5R Ciclo Imperial: Na Cidade Proibida (Expansão);34.99;34.99;"<p>Na Cidade Proibida &eacute; um pacote de dinastia para Legend of the Five Rings: Card Game contendo 60 cartas novas (3 c&oacute;pias de 20 cartas diferentes) projetado para melhorar os baralhos existentes. Ambientado no mundo m&iacute;stico de Rokugan, Legend of the Five Rings &eacute; um jogo de batalhas estrat&eacute;gicas e intrigas de corte onde jogadores lutam por honra e gl&oacute;ria.</p>

<p><strong>Expans&atilde;o do jogo Legend of the Five Rings. Para jog&aacute;-la &eacute; necess&aacute;rio ter a <a href=""https://galapagosjogos.com.br/l5r-legends-of-the-five-rings/product/L5R001"">caixa base</a>.</strong></p>";30-60 min
L5R Ciclo Imperial: O Trono de Crisântemo (Expansão);34.99;34.99;"<p>O Trono de Cris&acirc;ntemo &eacute; um pacote de dinastia para Legend of the Five Rings: Card Game contendo 60 cartas novas (3 c&oacute;pias de 20 cartas diferentes) projetado para melhorar os baralhos existentes. Ambientado no mundo m&iacute;stico de Rokugan, Legend of the Five Rings &eacute; um jogo de batalhas estrat&eacute;gicas e intrigas de corte onde jogadores lutam por honra e gl&oacute;ria.</p>

<p><strong>Expans&atilde;o do jogo Legend of the Five Rings. Para jog&aacute;-la &eacute; necess&aacute;rio ter a <a href=""https://galapagosjogos.com.br/l5r-legends-of-the-five-rings/product/L5R001"">caixa base</a>.</strong></p>";30-60 min
L5R Ciclo Imperial: O Destino Não Guarda Segredos (Expansão);34.99;34.99;"<p>O Destino N&atilde;o Guarda Segredos o &eacute; um pacote de dinastia para Legend of the Five Rings: Card Game contendo 60 cartas novas (3 c&oacute;pias de 20 cartas diferentes) projetado para melhorar os baralhos existentes. Ambientado no mundo m&iacute;stico de Rokugan, Legend of the Five Rings &eacute; um jogo de batalhas estrat&eacute;gicas e intrigas de corte onde jogadores lutam por honra e gl&oacute;ria.</p>

<p><strong>Expans&atilde;o do jogo Legend of the Five Rings. Para jog&aacute;-la &eacute; necess&aacute;rio ter a <a href=""https://galapagosjogos.com.br/l5r-legends-of-the-five-rings/product/L5R001"">caixa base</a>.</strong></p>";30-60 min
L5R Ciclo Imperial: Meditações Sobre o Efêmero (Expansão);34.99;34.99;"<p>Medita&ccedil;&otilde;es Sobre o Ef&ecirc;mero &eacute; um pacote de dinastia para Legend of the Five Rings: Card Game contendo 60 cartas novas (3 c&oacute;pias de 20 cartas diferentes) projetado para melhorar os baralhos existentes. Ambientado no mundo m&iacute;stico de Rokugan, Legend of the Five Rings &eacute; um jogo de batalhas estrat&eacute;gicas e intrigas de corte onde jogadores lutam por honra e gl&oacute;ria.</p>

<p><strong>Expans&atilde;o do jogo Legend of the Five Rings. Para jog&aacute;-la &eacute; necess&aacute;rio ter a <a href=""https://galapagosjogos.com.br/l5r-legends-of-the-five-rings/product/L5R001"">caixa base</a>.</strong></p>";30-60 min
L5R Phoenix Clan Pack: Discípulos do Vazio (Expansão);34.99;34.99;"<p>Disc&iacute;pulos do Vazio &eacute; um pacote de dinastia para Legend of the Five Rings: Card Game contendo 78&nbsp;cartas novas (3 c&oacute;pias de 25&nbsp;cartas diferentes e 1 c&oacute;pia de outras 3 cartas) projetadas&nbsp;para melhorar os baralhos existentes. Ambientado no mundo m&iacute;stico de Rokugan, Legend of the Five Rings &eacute; um jogo de batalhas estrat&eacute;gicas e intrigas de corte onde jogadores lutam por honra e gl&oacute;ria.</p>

<p><strong>Expans&atilde;o do jogo Legend of the Five Rings. Para jog&aacute;-la &eacute; necess&aacute;rio ter a <a href=""https://galapagosjogos.com.br/l5r-legends-of-the-five-rings/product/L5R001"">caixa base</a>.</strong></p>";30-60 min
L5R Ciclo Elemental: Suspiro dos Kamis (Expansão);34.99;34.99;"<p>Suspiro dos Kamis &eacute; um pacote de dinastia para Legend of the Five Rings: Card Game contendo 60 cartas novas (3 c&oacute;pias de 20 cartas diferentes) projetado para melhorar os baralhos existentes. Ambientado no mundo m&iacute;stico de Rokugan, Legend of the Five Rings &eacute; um jogo de batalhas estrat&eacute;gicas e intrigas de corte onde jogadores lutam por honra e gl&oacute;ria.</p>

<p><strong>Expans&atilde;o do jogo Legend of the Five Rings. Para jog&aacute;-la &eacute; necess&aacute;rio ter a <a href=""https://galapagosjogos.com.br/l5r-legends-of-the-five-rings/product/L5R001"">caixa base</a>.</strong></p>";30-60 min
L5R Ciclo Elemental: Terras Maculadas (Expansão);34.99;34.99;"<p>Terras Maculadas&nbsp;&eacute; um pacote de dinastia para Legend of the Five Rings: Card Game contendo 60 cartas novas (3 c&oacute;pias de 20 cartas diferentes) projetado para melhorar os baralhos existentes. Ambientado no mundo m&iacute;stico de Rokugan, Legend of the Five Rings &eacute; um jogo de batalhas estrat&eacute;gicas e intrigas de corte onde jogadores lutam por honra e gl&oacute;ria.</p>

<p><strong>Expans&atilde;o do jogo Legend of the Five Rings. Para jog&aacute;-la &eacute; necess&aacute;rio ter a <a href=""https://galapagosjogos.com.br/l5r-legends-of-the-five-rings/product/L5R001"">caixa base</a>.</strong></p>";30-60 min
L5R Ciclo Elemental: As Chamas Interiores (Expansão);34.99;34.99;"<p>As Chamas Interiores &eacute; um pacote de dinastia para Legend of the Five Rings: Card Game contendo 60 cartas novas (3 c&oacute;pias de 20 cartas diferentes) projetado para melhorar os baralhos existentes. Ambientado no mundo m&iacute;stico de Rokugan, Legend of the Five Rings &eacute; um jogo de batalhas estrat&eacute;gicas e intrigas de corte onde jogadores lutam por honra e gl&oacute;ria.</p>

<p><strong>Expans&atilde;o do jogo Legend of the Five Rings. Para jog&aacute;-la &eacute; necess&aacute;rio ter a <a href=""https://galapagosjogos.com.br/l5r-legends-of-the-five-rings/product/L5R001"">caixa base</a>.</strong></p>";30-60 min
L5R Ciclo Elemental: O Fluxo e Refluxo (Expansão);34.99;34.99;"<p>O Fluxo e Refluxo &eacute; um pacote de dinastia para Legend of the Five Rings: Card Game contendo 60 cartas novas (3 c&oacute;pias de 20 cartas diferentes) projetado para melhorar os baralhos existentes. Ambientado no mundo m&iacute;stico de Rokugan, Legend of the Five Rings &eacute; um jogo de batalhas estrat&eacute;gicas e intrigas de corte onde jogadores lutam por honra e gl&oacute;ria.</p>

<p><strong>Expans&atilde;o do jogo Legend of the Five Rings. Para jog&aacute;-la &eacute; necess&aacute;rio ter a <a href=""https://galapagosjogos.com.br/l5r-legends-of-the-five-rings/product/L5R001"">caixa base</a>.</strong></p>";30-60 min
